ID,Ingredients,Cocktail Name
51,Gin + Vodka + Pineapple Juice + Blue Curacao,Joffrey Baratheon
52,Gin + Vodka + Orange Juice + Grenadine + Coca-Cola + Jamnica + Lemonade,Crystal Noir
53,Rum + Blueberry Juice + Coca-Cola + Lemonade,Imperial Luna
54,Gin + Vodka + Orange Juice + Grenadine,Dalla
55,Gin + Orange Juice + Cranberry Juice + Blue Curacao + Lemonade,Epic Summer Enigma
56,Rum + Cranberry Juice + Pineapple Juice + Grenadine + Blue Curacao,Stormy Spritz
57,Rum + Cranberry Juice + Pineapple Juice + Grenadine + Jamnica + Lemonade,Shadow Chill
58,Vodka + Orange Juice + Cranberry Juice + Grenadine + Blue Curacao + Jamnica + Lemonade,Haunted Monsoon
59,Rum + Blue Curacao + Coca-Cola,Rattleshirt
60,Gin + Vodka + Blueberry Juice + Grenadine + Blue Curacao + Jamnica,Starlight Aura
61,Gin + Rum + Orange Juice + Pineapple Juice + Blue Curacao + Coca-Cola,Neon Haunted Surge
62,Gin + Orange Juice + Grenadine + Coca-Cola + Jamnica,Wild Summer Monsoon
63,Gin + Rum + Orange Juice + Pineapple Juice + Grenadine + Coca-Cola + Jamnica,Wild Caribbean Tempest
64,Rum + Orange Juice + Pineapple Juice + Blue Curacao + Lemonade,Super Coastal Horizon
65,Vodka + Rum + Orange Juice + Cranberry Juice + Blue Curacao + Jamnica,Super Pirate Noir
66,Rum + Orange Juice + Blueberry Juice + Blue Curacao + Coca-Cola + Jamnica + Lemonade,Blazing Cascade
67,Gin + Rum + Blueberry Juice + Coca-Cola + Jamnica + Lemonade,Grand Tiki Surge
68,Gin + Blueberry Juice + Grenadine + Jamnica,Fuego Tranquillo
69,Gin + Vodka + Orange Juice + Lemonade,Cerwyn
70,Gin + Vodka + Cranberry Juice + Blue Curacao + Coca-Cola + Jamnica + Lemonade,Flix Glimmer
71,Gin + Rum + Blue Curacao + Coca-Cola + Jamnica + Lemonade,Midnight Shadow
72,Vodka + Cranberry Juice + Blue Curacao + Lemonade,Clásico Sombrero
73,Vodka + Rum + Orange Juice + Cranberry Juice + Grenadine + Blue Curacao + Jamnica,Dark Oceanic Aura
74,Gin + Rum + Blueberry Juice + Pineapple Juice + Coca-Cola + Lemonade,Neon Vesper Aura
75,Rum + Pineapple Juice + Blue Curacao + Coca-Cola,Imperial Río
76,Gin + Vodka + Cranberry Juice + Blue Curacao + Jamnica,Suave Viento
77,Gin + Orange Juice + Grenadine,Tormund Giantsbane
78,Gin + Vodka + Blueberry Juice + Pineapple Juice + Blue Curacao + Jamnica + Lemonade,Grand Oceanic Enigma
79,Gin + Vodka + Orange Juice + Pineapple Juice + Jamnica + Lemonade,Solar Spark
80,Rum + Blueberry Juice + Blue Curacao + Jamnica,Brillante Madrid
81,Vodka + Rum + Blue Curacao + Coca-Cola + Jamnica,Neon Surge
82,Gin + Pineapple Juice + Jamnica,Direwolf Pack
83,Vodka + Rum + Cranberry Juice + Blueberry Juice + Grenadine + Coca-Cola + Lemonade,Super Smoky Whisper
84,Gin + Rum + Orange Juice + Blueberry Juice + Grenadine + Blue Curacao + Jamnica,Wild Saffron Haven
85,Gin + Vodka + Cranberry Juice + Grenadine + Blue Curacao,Suave Sol
86,Gin + Orange Juice + Cranberry Juice + Grenadine + Coca-Cola,Dark Coastal Shadow
87,Rum + Blueberry Juice + Pineapple Juice + Grenadine + Blue Curacao + Coca-Cola + Jamnica,Royal Midnight Bliss
88,Vodka + Pineapple Juice + Grenadine + Blue Curacao + Coca-Cola + Lemonade,Epic Mystic Oasis
89,Gin + Cranberry Juice + Blueberry Juice + Blue Curacao + Coca-Cola + Jamnica,Smoky Tide
90,Gin + Rum + Blueberry Juice + Blue Curacao + Coca-Cola + Jamnica,Vintage Tide
91,Gin + Rum + Grenadine + Coca-Cola + Lemonade,Gothic Tempest
92,Rum + Cranberry Juice + Blueberry Juice + Coca-Cola + Lemonade,Wild Rogue Splash
93,Gin + Vodka + Orange Juice + Grenadine + Blue Curacao + Coca-Cola + Lemonade,Wild Pirate Noir
94,Rum + Orange Juice + Grenadine + Blue Curacao + Coca-Cola + Lemonade,Pure Mystic Lagoon
95,Rum + Blueberry Juice + Grenadine,Red Waste
96,Gin + Rum + Cranberry Juice + Blueberry Juice + Coca-Cola + Jamnica,Grand Saffron Surge
97,Gin + Blueberry Juice + Grenadine + Blue Curacao + Coca-Cola + Lemonade,Royal Exotic Shadow
98,Vodka + Rum + Orange Juice + Cranberry Juice + Coca-Cola + Jamnica,Obsidian Symphony
99,Rum + Cranberry Juice + Blueberry Juice + Coca-Cola + Jamnica + Lemonade,Pure Summer Tempest
100,Rum + Blueberry Juice + Grenadine + Coca-Cola + Jamnica + Lemonade,Grand Tiki Breeze
101,Gin + Vodka + Jamnica,The Wall
102,Gin + Cranberry Juice + Blueberry Juice + Blue Curacao + Jamnica + Lemonade,Super Jungle Surge
103,Gin + Vodka + Orange Juice + Grenadine + Jamnica + Lemonade,Epic Saffron Spell
104,Rum + Orange Juice + Blueberry Juice + Coca-Cola + Jamnica,Neon Obsidian Paradise
105,Vodka + Cranberry Juice + Blue Curacao + Coca-Cola + Lemonade,Rogue Spell
106,Vodka + Rum + Coca-Cola + Lemonade,Loco Río
107,Gin + Orange Juice + Grenadine + Coca-Cola,Qohor
108,Vodka + Blue Curacao + Coca-Cola + Jamnica,Salvaje Oasis
109,Gin + Vodka + Blueberry Juice + Grenadine + Coca-Cola + Jamnica + Lemonade,Wild Oasis
110,Rum + Blueberry Juice + Pineapple Juice + Blue Curacao + Coca-Cola + Jamnica + Lemonade,Electric Shadow
111,Vodka + Blueberry Juice + Grenadine + Coca-Cola,Supremo Jaguar
112,Rum + Cranberry Juice + Pineapple Juice + Blue Curacao + Coca-Cola + Jamnica,Wild Coastal Surge
113,Gin + Vodka + Pineapple Juice + Blue Curacao + Coca-Cola,Wild Secret Paradise
114,Gin + Cranberry Juice + Blue Curacao + Coca-Cola + Lemonade,Alpine Cascade
115,Vodka + Rum + Cranberry Juice + Blue Curacao + Coca-Cola,Royal Midnight Tempest
116,Gin + Vodka + Orange Juice + Blue Curacao + Coca-Cola,Fuerte Toro
117,Rum + Cranberry Juice + Blueberry Juice + Blue Curacao + Jamnica + Lemonade,Midnight Echo
118,Vodka + Rum + Orange Juice + Grenadine + Coca-Cola + Lemonade,Dark Tropical Monsoon
119,Vodka + Orange Juice + Cranberry Juice + Jamnica + Lemonade,Obsidian Haven
120,Rum + Cranberry Juice + Grenadine + Blue Curacao + Coca-Cola + Jamnica + Lemonade,Royal Exotic Eclipse
121,Rum + Orange Juice + Blueberry Juice + Grenadine + Blue Curacao + Jamnica,Dark Caribbean Eclipse
122,Gin + Orange Juice + Pineapple Juice + Blue Curacao + Jamnica,Cosmic Whisper
123,Gin + Vodka + Blueberry Juice + Blue Curacao + Coca-Cola,Gothic Echo
124,Vodka + Orange Juice + Cranberry Juice + Coca-Cola + Jamnica + Lemonade,Pure Coastal Breeze
125,Rum + Cranberry Juice + Pineapple Juice,Malibu Bay Breeze
126,Gin + Rum + Blue Curacao + Coca-Cola + Jamnica,Super Tropical Surge
127,Gin + Rum + Grenadine + Jamnica + Lemonade,Super Caribbean Breeze
128,Gin + Rum + Orange Juice + Grenadine + Blue Curacao + Coca-Cola + Lemonade,Dark Saffron Oasis
129,Vodka + Rum + Pineapple Juice,Aegon Targaryen
130,Vodka + Blueberry Juice + Pineapple Juice + Grenadine + Coca-Cola + Lemonade,Super Smoky Glow
131,Rum + Orange Juice + Blueberry Juice + Grenadine,Secreto Sol
132,Vodka + Rum + Cranberry Juice + Pineapple Juice + Blue Curacao + Coca-Cola + Lemonade,Wild Obsidian Whisper
133,Vodka + Cranberry Juice + Blueberry Juice + Blue Curacao,Clásico Tranquillo
134,Vodka + Rum + Cranberry Juice + Pineapple Juice + Grenadine + Coca-Cola + Lemonade,Neon Midnight Glow
135,Rum + Cranberry Juice + Grenadine + Blue Curacao + Coca-Cola + Jamnica,Epic Pirate Whisper
136,Gin + Orange Juice + Blueberry Juice + Blue Curacao + Jamnica,Super Oceanic Lagoon
137,Vodka + Rum + Cranberry Juice + Grenadine + Jamnica,Royal Savage Tempest
138,Gin + Orange Juice + Coca-Cola + Jamnica + Lemonade,Wild Aura
139,Gin + Cranberry Juice + Blue Curacao + Jamnica,Fuego Lento
140,Gin + Vodka + Blueberry Juice + Coca-Cola + Jamnica,Pure Smoky Enigma
141,Gin + Orange Juice + Blueberry Juice + Grenadine + Blue Curacao + Jamnica,Wild Smoky Tempest
142,Gin + Rum + Blue Curacao + Jamnica,Renly
143,Gin + Orange Juice + Cranberry Juice + Grenadine + Coca-Cola + Lemonade,Neon Tropical Shadow
144,Rum + Blueberry Juice + Blue Curacao + Lemonade,Imperial Tranquillo
145,Vodka + Rum + Orange Juice + Grenadine + Blue Curacao + Coca-Cola + Jamnica,Super Vesper Tempest
146,Gin + Vodka + Cranberry Juice + Pineapple Juice + Blue Curacao,Suave Tranquillo
147,Vodka + Rum + Cranberry Juice + Blueberry Juice + Blue Curacao + Coca-Cola + Jamnica,Epic Secret Horizon
148,Vodka + Cranberry Juice + Coca-Cola + Lemonade,Clásico Madrid
149,Gin + Vodka + Cranberry Juice + Grenadine,Pyke
150,Gin + Rum + Cranberry Juice + Grenadine + Coca-Cola + Jamnica,Caribbean Glow
151,Gin + Vodka + Blueberry Juice + Grenadine + Jamnica,Caliente Mar
152,Rum + Orange Juice + Grenadine + Lemonade,Secreto Cactus
153,Gin + Rum + Pineapple Juice + Jamnica + Lemonade,Super Midnight Spell
154,Vodka + Rum + Orange Juice + Pineapple Juice + Grenadine + Jamnica,Glacial Ritual
155,Gin + Orange Juice + Pineapple Juice + Grenadine + Coca-Cola + Jamnica + Lemonade,Wild Mystic Enigma
156,Gin + Orange Juice + Blue Curacao + Coca-Cola + Jamnica + Lemonade,Grand Coastal Spell
157,Gin + Rum + Orange Juice + Cranberry Juice + Coca-Cola + Jamnica,Epic Oceanic Breeze
158,Gin + Vodka + Cranberry Juice + Pineapple Juice + Blue Curacao + Coca-Cola + Jamnica,Neon Savage Oasis
159,Gin + Vodka + Blueberry Juice + Grenadine + Jamnica + Lemonade,Stormy Glimmer
160,Vodka + Rum + Pineapple Juice + Grenadine + Blue Curacao + Jamnica,Grand Midnight Breeze
161,Rum + Orange Juice + Pineapple Juice + Grenadine + Blue Curacao + Jamnica,Alpine Vortex
162,Vodka + Rum + Orange Juice + Cranberry Juice + Grenadine + Blue Curacao + Coca-Cola,Epic Velvet Bliss
163,Gin + Vodka + Blueberry Juice + Jamnica,Paraíso Blue
164,Gin + Vodka + Orange Juice + Pineapple Juice + Coca-Cola + Lemonade,Epic Caribbean Noir
165,Vodka + Rum + Orange Juice + Blueberry Juice + Grenadine + Coca-Cola + Lemonade,Urban Bliss
166,Vodka + Cranberry Juice + Pineapple Juice + Coca-Cola + Lemonade,Royal Savage Whisper
167,Vodka + Pineapple Juice + Grenadine + Blue Curacao + Coca-Cola + Jamnica + Lemonade,Super Coastal Oasis
168,Vodka + Cranberry Juice + Pineapple Juice + Grenadine + Blue Curacao + Coca-Cola + Jamnica,Neon Oceanic Eclipse
169,Rum + Cranberry Juice + Blueberry Juice + Blue Curacao + Coca-Cola,Neon Summer Lagoon
170,Gin + Vodka + Pineapple Juice + Jamnica + Lemonade,Urban Vortex
171,Vodka + Rum + Cranberry Juice + Blueberry Juice + Blue Curacao + Jamnica + Lemonade,Amber Phantom
172,Rum + Blueberry Juice + Grenadine + Blue Curacao,Brillante Lobo
173,Gin + Vodka + Cranberry Juice + Blueberry Juice + Grenadine + Coca-Cola + Jamnica,Dark Caribbean Glow
174,Rum + Cranberry Juice + Grenadine + Lemonade,Brillante Tranquillo
175,Gin + Vodka + Coca-Cola,Ghost
176,Rum + Blueberry Juice + Pineapple Juice + Coca-Cola + Jamnica + Lemonade,Wild Oceanic Bliss
177,Gin + Vodka + Grenadine + Blue Curacao + Jamnica,Neon Tropical Enigma
178,Vodka + Pineapple Juice + Blue Curacao + Jamnica + Lemonade,Smoky Noir
179,Gin + Cranberry Juice + Blueberry Juice + Grenadine + Blue Curacao,Rogue Blast
180,Gin + Orange Juice + Cranberry Juice + Blue Curacao + Coca-Cola,Pure Midnight Surge
181,Gin + Cranberry Juice + Pineapple Juice + Coca-Cola,Unsullied
182,Gin + Blueberry Juice + Pineapple Juice + Grenadine + Jamnica,Wild Summer Splash
183,Gin + Orange Juice + Pineapple Juice + Grenadine + Coca-Cola,Rogue Eclipse
184,Gin + Rum + Blueberry Juice + Pineapple Juice + Blue Curacao + Jamnica + Lemonade,Neon Exotic Enigma
185,Vodka + Orange Juice + Blueberry Juice + Grenadine + Blue Curacao + Coca-Cola,Epic Tiki Eclipse
186,Vodka + Blueberry Juice + Pineapple Juice + Grenadine + Blue Curacao + Jamnica + Lemonade,Super Secret Horizon
187,Gin + Vodka + Orange Juice + Blueberry Juice + Grenadine + Coca-Cola + Jamnica,Secret Horizon
188,Rum + Orange Juice + Pineapple Juice + Blue Curacao + Coca-Cola + Lemonade,Crystal Paradise
189,Gin + Rum + Blueberry Juice + Pineapple Juice + Grenadine + Blue Curacao,Neon Summer Whisper
190,Gin + Vodka + Blue Curacao + Coca-Cola + Jamnica + Lemonade,Rogue Tide
191,Vodka + Rum + Blueberry Juice + Blue Curacao + Jamnica + Lemonade,Summer Flame
192,Gin + Blueberry Juice + Pineapple Juice + Grenadine + Blue Curacao + Coca-Cola + Lemonade,Wild Velvet Ritual
193,Vodka + Rum + Pineapple Juice + Grenadine,Santo Cactus
194,Vodka + Cranberry Juice + Grenadine + Blue Curacao + Coca-Cola + Jamnica,Stormy Vortex
195,Gin + Rum + Orange Juice + Cranberry Juice + Jamnica + Lemonade,Golden Bliss
196,Gin + Vodka + Orange Juice + Pineapple Juice + Grenadine + Blue Curacao,Pure Jungle Bliss
197,Vodka + Orange Juice + Pineapple Juice + Blue Curacao + Jamnica + Lemonade,Epic Pirate Haven
198,Gin + Vodka + Cranberry Juice + Blueberry Juice + Grenadine + Coca-Cola + Lemonade,Secret Aura
199,Gin + Blueberry Juice + Grenadine + Coca-Cola + Jamnica,Shadow Splash
200,Gin + Orange Juice + Blueberry Juice + Blue Curacao + Jamnica + Lemonade,Amber Oasis
201,Rum + Cranberry Juice + Pineapple Juice + Blue Curacao,Oscuro Pirata
202,Gin + Orange Juice + Cranberry Juice + Grenadine + Jamnica + Lemonade,Crimson Frost
203,Vodka + Rum + Orange Juice + Grenadine + Blue Curacao + Jamnica,Pure Midnight Enigma
204,Vodka + Rum + Grenadine + Jamnica + Lemonade,Dark Oceanic Horizon
205,Gin + Vodka + Orange Juice + Pineapple Juice + Blue Curacao + Coca-Cola + Jamnica,Neon Coastal Spell
206,Gin + Vodka + Orange Juice + Coca-Cola + Jamnica + Lemonade,Crimson Flame
207,Vodka + Blueberry Juice + Grenadine + Blue Curacao + Jamnica,Grand Rogue Breeze
208,Rum + Blue Curacao + Coca-Cola + Lemonade,Bello Luna
209,Gin + Rum + Cranberry Juice + Pineapple Juice + Coca-Cola + Jamnica + Lemonade,Solar Bliss
210,Vodka + Orange Juice + Blue Curacao + Coca-Cola + Lemonade,Neon Tiki Splash
211,Vodka + Cranberry Juice + Blue Curacao + Jamnica,Clásico Ritmo
212,Rum + Blueberry Juice + Pineapple Juice + Grenadine + Jamnica,Vesper Bliss
213,Rum + Grenadine + Blue Curacao + Jamnica,Imperial Sombrero
214,Vodka + Rum + Cranberry Juice + Grenadine + Lemonade,Stormy Flash
215,Vodka + Cranberry Juice + Grenadine + Lemonade,Clásico Lobo
216,Vodka + Blueberry Juice + Blue Curacao + Jamnica,Supremo Pirata
217,Vodka + Grenadine + Jamnica,Lord Commander
218,Gin + Blueberry Juice + Grenadine + Blue Curacao + Jamnica + Lemonade,Pure Smoky Breeze
219,Rum + Blueberry Juice + Blue Curacao + Coca-Cola,Brillante Cactus
220,Vodka + Cranberry Juice + Lemonade,Cape Codder
221,Gin + Cranberry Juice + Blue Curacao + Coca-Cola + Jamnica,Super Secret Enigma
222,Gin + Rum + Grenadine + Coca-Cola,Margaery Tyrell
223,Gin + Pineapple Juice + Blue Curacao + Jamnica + Lemonade,Super Haunted Whisper
224,Rum + Orange Juice + Cranberry Juice + Grenadine + Jamnica + Lemonade,Vintage Blizzard
225,Vodka + Cranberry Juice + Pineapple Juice + Coca-Cola,Clásico Toro
226,Gin + Rum + Grenadine + Blue Curacao + Jamnica,Obsidian Blizzard
227,Gin + Orange Juice + Cranberry Juice + Grenadine + Coca-Cola + Jamnica,Wild Exotic Surge
228,Rum + Orange Juice + Blueberry Juice + Grenadine + Blue Curacao + Coca-Cola,Wild Smoky Lagoon
229,Gin + Vodka + Grenadine + Coca-Cola,Brienne of Tarth
230,Vodka + Rum + Orange Juice + Cranberry Juice + Grenadine,Savage Tempest
231,Vodka + Orange Juice + Grenadine + Blue Curacao + Jamnica,Epic Caribbean Enigma
232,Vodka + Blueberry Juice + Pineapple Juice + Jamnica + Lemonade,Imperial Chill
233,Rum + Pineapple Juice + Grenadine,Riverrun
234,Rum + Orange Juice + Blueberry Juice + Grenadine + Jamnica,Cosmic Blizzard
235,Vodka + Orange Juice + Grenadine + Blue Curacao + Jamnica + Lemonade,Secret Blast
236,Gin + Orange Juice + Pineapple Juice + Grenadine + Blue Curacao + Jamnica,Pure Obsidian Lagoon
237,Vodka + Blueberry Juice + Pineapple Juice + Blue Curacao + Coca-Cola + Jamnica + Lemonade,Royal Pirate Bliss
238,Gin + Cranberry Juice + Pineapple Juice + Lemonade,Daario Naharis
239,Vodka + Orange Juice + Cranberry Juice + Blue Curacao + Jamnica,Pure Midnight Ritual
240,Vodka + Rum + Cranberry Juice + Blue Curacao + Coca-Cola + Lemonade,Golden Phantom
241,Rum + Cranberry Juice + Coca-Cola + Jamnica,Brillante Sol
242,Gin + Vodka + Orange Juice + Cranberry Juice + Grenadine + Coca-Cola,Neon Rogue Horizon
243,Gin + Vodka + Orange Juice + Pineapple Juice,Val
244,Gin + Rum + Orange Juice + Grenadine + Coca-Cola,Super Tiki Monsoon
245,Gin + Vodka + Grenadine + Coca-Cola + Jamnica,Grand Midnight Monsoon
246,Vodka + Rum + Blue Curacao + Jamnica + Lemonade,Royal Haunted Haven
247,Vodka + Rum + Coca-Cola,Caraxes
248,Vodka + Orange Juice + Cranberry Juice + Coca-Cola + Jamnica,Neon Saffron Spell
249,Gin + Rum + Blueberry Juice + Grenadine + Coca-Cola + Lemonade,Dark Midnight Monsoon
250,Vodka + Blueberry Juice + Pineapple Juice + Coca-Cola + Lemonade,Frostfire Ritual
251,Vodka + Orange Juice + Pineapple Juice + Blue Curacao + Lemonade,Royal Tropical Breeze
252,Gin + Vodka + Orange Juice + Cranberry Juice + Grenadine + Coca-Cola + Lemonade,Neon Horizon
253,Vodka + Orange Juice + Cranberry Juice + Grenadine + Blue Curacao + Coca-Cola + Jamnica,Grand Oceanic Spell
254,Rum + Blueberry Juice + Pineapple Juice + Blue Curacao + Coca-Cola + Lemonade,Neon Haunted Enigma
255,Vodka + Orange Juice + Blueberry Juice + Grenadine + Blue Curacao,Pure Mystic Paradise
256,Vodka + Cranberry Juice + Blue Curacao + Coca-Cola + Jamnica + Lemonade,Wild Secret Aura
257,Rum + Blueberry Juice + Pineapple Juice + Grenadine + Coca-Cola + Jamnica,Neon Haunted Glow
258,Gin + Cranberry Juice + Blueberry Juice + Grenadine + Blue Curacao + Jamnica + Lemonade,Royal Velvet Surge
259,Gin + Rum + Coca-Cola + Lemonade,Salladhor Saan
260,Rum + Orange Juice + Blueberry Juice + Coca-Cola + Lemonade,Electric Monsoon
261,Gin + Vodka + Orange Juice + Cranberry Juice + Blue Curacao + Coca-Cola + Jamnica,Wild Tiki Horizon
262,Gin + Vodka + Blueberry Juice + Pineapple Juice + Grenadine + Blue Curacao,Wild Haunted Enigma
263,Vodka + Orange Juice + Pineapple Juice + Grenadine + Blue Curacao + Coca-Cola + Lemonade,Pacific Aura
264,Gin + Pineapple Juice + Blue Curacao + Coca-Cola,Jaguar Negro
265,Rum + Cranberry Juice + Pineapple Juice + Grenadine + Coca-Cola + Jamnica,Epic Haunted Enigma
266,Gin + Rum + Blueberry Juice + Grenadine + Blue Curacao + Coca-Cola + Jamnica,Grand Jungle Surge
267,Gin + Blueberry Juice + Blue Curacao,Fist of the First Men
268,Vodka + Cranberry Juice + Blueberry Juice + Coca-Cola + Jamnica,Electric Crush
269,Rum + Pineapple Juice + Coca-Cola,Harrenhal
270,Vodka + Rum + Blueberry Juice + Pineapple Juice + Coca-Cola,Wild Jungle Splash
271,Rum + Orange Juice + Cranberry Juice + Blue Curacao + Coca-Cola + Jamnica,Grand Velvet Paradise
272,Rum + Cranberry Juice + Grenadine + Coca-Cola + Lemonade,Grand Midnight Spell
273,Gin + Rum + Blueberry Juice + Coca-Cola,Blackfyre
274,Gin + Rum + Orange Juice + Blue Curacao + Lemonade,Coastal Glimmer
275,Vodka + Blueberry Juice + Blue Curacao + Coca-Cola + Lemonade,Neon Rogue Paradise
276,Gin + Vodka + Blueberry Juice + Pineapple Juice + Coca-Cola,Suave Cactus
277,Rum + Blueberry Juice + Pineapple Juice + Grenadine + Blue Curacao + Lemonade,Neon Midnight Monsoon
278,Rum + Cranberry Juice + Jamnica + Lemonade,Brillante Toro
279,Vodka + Orange Juice + Blueberry Juice + Blue Curacao + Jamnica + Lemonade,Savage Surge
280,Vodka + Orange Juice + Cranberry Juice + Grenadine + Blue Curacao,Epic Midnight Breeze
281,Gin + Pineapple Juice + Blue Curacao,Longclaw
282,Gin + Rum + Cranberry Juice + Pineapple Juice + Blue Curacao + Coca-Cola + Lemonade,Shadow Monsoon
283,Vodka + Orange Juice + Pineapple Juice + Grenadine + Coca-Cola + Lemonade,Super Smoky Oasis
284,Rum + Orange Juice + Cranberry Juice + Lemonade,Secreto Mar
285,Gin + Grenadine + Coca-Cola + Jamnica + Lemonade,Royal Mystic Splash
286,Gin + Orange Juice + Cranberry Juice + Blue Curacao + Coca-Cola + Lemonade,Obsidian Waves
287,Vodka + Orange Juice + Blueberry Juice + Jamnica,Puro Tranquillo
288,Gin + Rum + Cranberry Juice + Pineapple Juice + Blue Curacao + Coca-Cola + Jamnica,Epic Savage Enigma
289,Rum + Pineapple Juice + Grenadine + Blue Curacao,Imperial Sol
290,Vodka + Cranberry Juice + Blueberry Juice + Grenadine + Blue Curacao,Pirate Burst
291,Vodka + Rum + Blueberry Juice + Grenadine + Blue Curacao + Jamnica + Lemonade,Epic Savage Shadow
292,Gin + Vodka + Blue Curacao + Coca-Cola,Melisandre
293,Vodka + Rum + Cranberry Juice + Blue Curacao + Coca-Cola + Jamnica + Lemonade,Tiki Symphony
294,Rum + Orange Juice + Cranberry Juice + Coca-Cola + Jamnica + Lemonade,Velvet Spritz
295,Gin + Rum + Cranberry Juice + Grenadine + Jamnica + Lemonade,Super Oceanic Horizon
